Time,Ego_Speed,Fused_Distance,Relative_Speed,Lead_Speed,Ego_Accel,Lead_Accel
0.0,15.41,16.55,0.0,15.41,0.0,0.0
0.1,15.4484,16.8326,2.8262,18.2745,0.3835,28.645
0.2,15.4919,16.881,0.4843,15.9762,0.4358,-22.9831
0.3,15.5355,16.9295,0.4843,16.0198,0.4358,0.4358
0.4,15.5791,16.9779,0.4843,16.0634,0.4358,0.4358
0.5,15.6278,17.958,9.8007,25.4285,0.4874,93.6514
0.6,15.6716,21.3951,30.0,45.6716,0.4378,202.4313
0.7,15.711,21.1172,-2.7798,12.9312,0.3937,-327.4046
0.8,15.7574,19.7788,-13.3832,2.3742,0.4644,-105.5694
0.9,15.8031,19.0376,-7.4125,8.3906,0.4566,60.164
1.0,15.8527,17.47,-15.676,0.1767,0.4959,-82.1389
1.1,15.9029,18.1886,7.1857,23.0886,0.5016,229.1184
1.2,15.951,18.4657,2.7714,18.7224,0.481,-43.6619
1.3,15.9945,19.0021,5.3642,21.3587,0.4357,26.363
1.4,16.0371,19.3628,3.6066,19.6437,0.4262,-17.1499
1.5,16.0798,19.7234,3.6066,19.6863,0.4262,0.4262
1.6,16.1373,19.79,0.6656,16.8029,0.5756,-28.8342
1.7,16.1767,20.81,10.2,26.3767,0.3933,95.7377
1.8,16.2183,21.5444,7.3437,23.5621,0.4167,-28.1459
1.9,16.26,22.2788,7.3437,23.6037,0.4167,0.4167
2.0,16.3017,23.0131,7.3437,23.6454,0.4167,0.4167
2.1,16.344,23.3793,3.6615,20.0055,0.4229,-36.3995
2.2,16.3863,24.1044,7.2508,23.637,0.423,36.3155
2.3,16.4285,24.8294,7.2508,23.6793,0.423,0.423
2.4,16.47,25.54,7.1057,23.5757,0.4145,-1.0356
2.5,16.5154,26.0269,4.8692,21.3846,0.4538,-21.9114
2.6,16.5534,26.7917,7.6479,24.2013,0.3803,28.1666
2.7,16.6036,27.0871,2.9541,19.5577,0.5014,-46.4359
2.8,16.6544,27.5221,4.3503,21.0047,0.5085,14.4702
2.9,16.6973,28.1602,6.381,23.0783,0.4291,20.7359
3.0,16.7376,28.65,4.8976,21.6352,0.4031,-14.4309
3.1,16.7829,29.66,10.1,26.8829,0.4523,52.4767
3.2,16.8312,30.0877,4.2767,21.1079,0.4831,-57.7495
3.3,16.8758,30.7525,6.6483,23.524,0.4461,24.1611
3.4,16.9259,31.7395,9.8696,26.7955,0.5018,32.7151
3.5,16.9657,31.94,2.0054,18.9711,0.3977,-78.2442
3.6,17.0128,32.373,4.3296,21.3424,0.4708,23.7129
3.7,17.0575,33.3003,9.2737,26.3312,0.4469,49.8883
3.8,17.1063,34.0863,7.8591,24.9654,0.4876,-13.6584
3.9,17.1536,34.95,8.6375,25.7911,0.4732,8.2568
4.0,17.1952,35.4933,5.4333,22.6286,0.4167,-31.625
